DATE,OPEN,HIGH,CLOSE,LOW,VOL,AMOUNT,FACTOR
2010-02-05,29.444,29.444,27.424,27.769,2001220.0,32575628.0,1.727
2010-02-08,27.769,28.494,27.285,27.993,754205.0,12184481.0,1.727
2010-02-09,27.648,28.132,27.648,27.803,554618.0,8947590.0,1.727
2010-02-10,27.803,28.322,27.803,28.218,716462.0,11650337.0,1.727
2010-02-11,28.166,28.322,27.976,28.063,604463.0,9864790.0,1.727
2010-02-12,28.08,28.373,27.993,28.373,650837.0,10624870.0,1.727
2010-02-23,28.339,30.394,28.339,30.394,2806644.0,48039460.0,1.727
2010-02-24,30.48,30.566,29.617,30.394,1792732.0,31301436.0,1.727
2010-02-25,30.394,30.705,30.048,30.705,2287319.0,40220156.0,1.727
2010-02-26,30.567,30.895,30.1,30.463,2010742.0,35495768.0,1.727
2010-03-01,30.463,30.774,30.135,30.739,2007811.0,35465608.0,1.727
2010-03-02,30.912,31.05,30.273,30.273,1664068.0,29410058.0,1.727
2010-03-03,30.048,30.376,29.807,30.256,1942953.0,33820924.0,1.727
2010-03-04,30.221,30.653,28.926,28.926,1774117.0,30749678.0,1.727
2010-03-05,28.874,29.513,28.788,29.047,1268084.0,21292764.0,1.727
2010-03-08,29.012,29.289,28.805,29.289,885659.0,14922426.0,1.727
2010-03-09,29.358,29.789,29.012,29.651,1093148.0,18666816.0,1.727
2010-03-10,29.651,30.377,29.358,29.599,1000447.0,17261324.0,1.727
2010-03-11,29.392,29.686,28.736,28.84,992680.0,16742268.0,1.727
2010-03-12,28.874,29.15,27.907,28.045,1072646.0,17708760.0,1.727
2010-03-15,28.028,28.27,27.648,27.976,718914.0,11644269.0,1.727
2010-03-16,28.149,28.408,27.631,28.218,674483.0,10969210.0,1.727
2010-03-17,28.201,29.686,27.976,29.669,1981647.0,33411832.0,1.727
2010-03-18,29.72,30.394,29.617,29.841,3454474.0,60001364.0,1.727
2010-03-19,29.496,29.997,29.168,29.617,1463714.0,24999962.0,1.727
2010-03-22,29.617,29.841,29.358,29.772,1049742.0,17972238.0,1.727
2010-03-23,29.876,29.876,29.409,29.565,763942.0,13073777.0,1.727
2010-03-24,29.565,29.651,29.15,29.444,1183594.0,20112466.0,1.727
2010-03-25,29.62,29.655,29.167,29.185,1082862.0,18243134.0,1.742
2010-03-26,29.15,29.952,28.662,29.638,1527044.0,25662212.0,1.742
2010-03-29,29.795,30.561,29.498,30.544,4002010.0,69405168.0,1.742
2010-03-30,30.439,31.694,29.969,31.293,6369902.0,113022944.0,1.742
